step,train_loss,val_loss
0,6.429132461547852,1.8363036032645936
500,0.8811078909635544,0.7459498009374065
1000,0.7420036243200302,0.731979158616835
1500,0.7372736742496491,0.7112792730331421
2000,0.7228543761968612,0.7130330224190989
2500,0.7239545520544052,0.7062537747044717
3000,0.7226292756795883,0.6887500036147333
3500,0.7254102019071579,0.7148988939100697
4000,0.7259872918725013,0.7068869567686512
4500,0.7205668449401855,0.719470162545481
5000,0.7193159204125404,0.6994467589163011
5500,0.717589831829071,0.7193112488715879
6000,0.704049609541893,0.7013548324185033
6500,0.6955742386579513,0.723603650446861
7000,0.68480460780859,0.7286663363056798
7500,0.66075217628479,0.6565694385959256
8000,0.6322411755919457,0.6499068833166554
8500,0.5996525374650955,0.6175898525022692
9000,0.5689294481873512,0.5777291357517242
9500,0.5524979378581047,0.5600931019552292
10000,0.5424530162215233,0.5849738813215687
10500,0.5347190765738488,0.5435700464633203
11000,0.5166763001084328,0.5263388493368703
11500,0.5080774190425873,0.5283530508318255
12000,0.5106915684342385,0.5403108135346444
